    76/149     3.44G   0.03897   0.03342   0.01614   0.08853        21       640     0.517    0.8572    0.8081    0.5102   0.03015   0.01891  0.004887
    77/149     3.44G   0.03885   0.03326   0.01638   0.08849        11       640    0.5204    0.8578    0.8097    0.5126   0.03005   0.01886  0.004818
    78/149     3.44G   0.03897   0.03322   0.01591    0.0881        12       640    0.5235    0.8593    0.8118    0.5145   0.02996    0.0188  0.004747
    79/149     3.44G   0.03858   0.03328   0.01569   0.08755        14       640    0.5242     0.861    0.8132    0.5162   0.02989   0.01875  0.004676
    80/149     3.44G   0.03844   0.03321   0.01539   0.08704        22       640    0.5234    0.8626     0.815    0.5174   0.02982   0.01871  0.004611
    81/149     3.44G   0.03864   0.03318   0.01546   0.08728        14       640    0.5242    0.8648    0.8168    0.5197   0.02973   0.01866  0.004545
    82/149     3.44G   0.03864   0.03306   0.01528   0.08697        14       640    0.5239    0.8659    0.8192    0.5218   0.02965   0.01862  0.004487
    83/149     3.44G    0.0383   0.03286   0.01537   0.08653        16       640    0.5255    0.8673    0.8208    0.5241   0.02958   0.01858   0.00443
    84/149     3.44G   0.03819   0.03278   0.01505   0.08602        27       640    0.5271     0.868    0.8217    0.5255   0.02951   0.01853  0.004373
    85/149     3.44G     0.038   0.03276    0.0147   0.08546        12       640    0.5264     0.869    0.8233    0.5269   0.02944   0.01848  0.004321
    86/149     3.44G   0.03794   0.03259   0.01461   0.08514        16       640    0.5273    0.8696    0.8247    0.5286   0.02938   0.01844  0.004269
    87/149     3.44G   0.03773   0.03279   0.01479   0.08531         8       640    0.5285     0.872    0.8265    0.5296   0.02932   0.01841  0.004221
    88/149     3.44G   0.03753   0.03281   0.01432   0.08466        16       640    0.5281    0.8734    0.8279    0.5315   0.02926   0.01839  0.004174
    89/149     3.44G   0.03742    0.0324   0.01422   0.08403        16       640    0.5287    0.8743    0.8292    0.5331    0.0292   0.01835  0.004133
    90/149     3.44G   0.03737   0.03251   0.01461   0.08449        20       640    0.5292    0.8751    0.8303    0.5346   0.02914   0.01832  0.004094
    91/149     3.44G   0.03734   0.03216    0.0143    0.0838        20       640    0.5283     0.876    0.8315    0.5359   0.02909   0.01829  0.004059
    92/149     3.44G   0.03734   0.03241   0.01436   0.08411        18       640    0.5281    0.8766    0.8329    0.5377   0.02903   0.01826  0.004023
    93/149     3.44G   0.03706   0.03259   0.01413   0.08378        13       640     0.529    0.8774     0.834    0.5393   0.02897   0.01823  0.003987
    94/149     3.44G   0.03698   0.03217   0.01371   0.08286        11       640    0.5296    0.8787    0.8354    0.5412   0.02892   0.01819  0.003952
    95/149     3.44G   0.03698    0.0321   0.01382    0.0829        17       640    0.5303    0.8796     0.837    0.5429   0.02887   0.01817  0.003917
    96/149     3.44G   0.03665   0.03189   0.01377   0.08231        12       640    0.5325    0.8821    0.8383    0.5441   0.02881   0.01813  0.003884
    97/149     3.44G   0.03658   0.03219   0.01372   0.08249        18       640    0.5332    0.8826    0.8394     0.545   0.02876    0.0181  0.003853
    98/149     3.44G   0.03642    0.0315   0.01356   0.08148        17       640    0.5341    0.8829    0.8403    0.5462   0.02871   0.01808  0.003823
    99/149     3.44G    0.0363   0.03151    0.0133   0.08111        14       640    0.5347    0.8834    0.8412    0.5465   0.02866   0.01805  0.003794
   100/149     3.44G   0.03637   0.03152    0.0134   0.08129        18       640     0.536    0.8846    0.8421    0.5476   0.02861   0.01802  0.003764
   101/149     3.44G   0.03607   0.03173   0.01329   0.08108        25       640    0.5362    0.8856    0.8433    0.5484   0.02856   0.01799  0.003737
   102/149     3.44G   0.03612   0.03169   0.01325   0.08106        14       640    0.5368    0.8866    0.8444    0.5496   0.02852   0.01797  0.003707
   103/149     3.44G   0.03607   0.03133   0.01302   0.08043        18       640    0.5363    0.8872    0.8452    0.5506   0.02847   0.01794  0.003679
   104/149     3.44G    0.0358   0.03146   0.01292   0.08018        22       640    0.5364    0.8875     0.846    0.5518   0.02843   0.01792  0.003651
   105/149     3.44G   0.03578   0.03104   0.01278    0.0796        12       640    0.5373    0.8883    0.8471    0.5533   0.02838   0.01789  0.003626
   106/149     3.44G   0.03576   0.03148   0.01261   0.07985        14       640    0.5374    0.8887     0.848    0.5542   0.02834   0.01787  0.003601
   107/149     3.44G   0.03557   0.03094   0.01302   0.07954        11       640    0.5379    0.8898    0.8494     0.555    0.0283   0.01785  0.003579
   108/149     3.44G   0.03513   0.03117   0.01268   0.07897        28       640    0.5384    0.8902    0.8501    0.5563   0.02825   0.01782  0.003555
   109/149     3.44G   0.03532   0.03082   0.01269   0.07882        24       640    0.5391    0.8913    0.8511    0.5576   0.02821   0.01779  0.003532
   110/149     3.44G   0.03528   0.03091   0.01249   0.07868        19       640    0.5409    0.8921    0.8521    0.5587   0.02817   0.01777  0.003509
   111/149     3.44G   0.03498   0.03058   0.01232   0.07788        21       640    0.5419    0.8926     0.853    0.5595   0.02813   0.01774  0.003486
   112/149     3.44G   0.03499   0.03081   0.01222   0.07803        11       640    0.5424    0.8934    0.8536    0.5607   0.02809   0.01772  0.003463
   113/149     3.44G   0.03482    0.0306   0.01197   0.07739        17       640    0.5431    0.8935    0.8544     0.562   0.02805   0.01769   0.00344
   114/149     3.44G   0.03508    0.0308   0.01208   0.07797        23       640    0.5444    0.8941    0.8554     0.563   0.02801   0.01767  0.003418
   115/149     3.44G   0.03461   0.03065   0.01175     0.077         9       640    0.5449    0.8941    0.8559    0.5643   0.02797   0.01764  0.003396
   116/149     3.44G   0.03451   0.03056   0.01168   0.07675        21       640    0.5457    0.8938    0.8567    0.5653   0.02794   0.01762  0.003374
   117/149     3.44G   0.03451   0.03078   0.01162   0.07691        14       640     0.546    0.8944    0.8577    0.5663    0.0279   0.01759  0.003352
   118/149     3.44G   0.03425   0.03046   0.01149    0.0762        14       640    0.5467     0.895    0.8584    0.5672   0.02786   0.01756   0.00333
   119/149     3.44G   0.03438    0.0304    0.0118   0.07659        16       640    0.5479    0.8956    0.8591    0.5685   0.02782   0.01754  0.003308
   120/149     3.44G   0.03418   0.03004   0.01152   0.07574        13       640    0.5485    0.8962    0.8598    0.5695   0.02778   0.01751  0.003285
   121/149     3.44G   0.03399   0.03017   0.01144   0.07559        14       640    0.5488    0.8968    0.8606    0.5706   0.02774   0.01749  0.003264
   122/149     3.44G    0.0337   0.03022   0.01081   0.07472        20       640    0.5492    0.8979    0.8615    0.5713   0.02771   0.01746  0.003242
