    76/149     8.46G   0.03965    0.0335   0.01717   0.09033        37       640     0.503     0.838     0.793    0.4957   0.03081   0.01925  0.005503
    77/149     8.46G    0.0395   0.03362   0.01646   0.08958        13       640     0.506    0.8408    0.7954    0.4978   0.03073   0.01921  0.005413
    78/149     8.46G    0.0393   0.03357   0.01649   0.08936        38       640    0.5054    0.8423    0.7974    0.5004   0.03066   0.01916  0.005322
    79/149     8.46G    0.0393   0.03352   0.01689   0.08971        21       640    0.5084    0.8439     0.799    0.5021   0.03058   0.01912  0.005255
    80/149     8.46G   0.03933   0.03347   0.01649   0.08928        13       640    0.5071    0.8469     0.801    0.5033   0.03052   0.01908  0.005191
    81/149     8.46G   0.03906   0.03354   0.01616   0.08876        15       640    0.5083    0.8484    0.8024    0.5045   0.03045   0.01904  0.005119
    82/149     8.46G   0.03913   0.03338   0.01624   0.08875        14       640    0.5098    0.8516    0.8046    0.5066   0.03038     0.019  0.005064
    83/149     8.46G   0.03886   0.03332   0.01607   0.08825        19       640    0.5093    0.8522    0.8063    0.5084    0.0303   0.01896  0.005012
    84/149     8.46G   0.03873   0.03318   0.01569   0.08759        18       640    0.5109    0.8549    0.8085    0.5105   0.03022   0.01891  0.004942
    85/149     8.46G   0.03836   0.03275   0.01571   0.08682         9       640    0.5126    0.8565    0.8099    0.5119   0.03014   0.01887   0.00488
    86/149     8.46G   0.03849   0.03294   0.01587   0.08731        25       640    0.5131    0.8571    0.8121    0.5137   0.03006   0.01883  0.004823
    87/149     8.46G    0.0383   0.03297   0.01581   0.08708        11       640    0.5143    0.8588    0.8138    0.5152      0.03    0.0188   0.00478
    88/149     8.46G   0.03836   0.03283   0.01515   0.08634        15       640     0.516    0.8602     0.815    0.5162   0.02993   0.01876  0.004733
    89/149     8.46G   0.03805   0.03315   0.01538   0.08658        18       640    0.5168    0.8612    0.8165    0.5171   0.02987   0.01872  0.004691
    90/149     8.46G   0.03799   0.03319    0.0156   0.08678         7       640    0.5169     0.861    0.8175    0.5186   0.02981   0.01868  0.004648
    91/149     8.46G   0.03785   0.03306   0.01494   0.08585        20       640    0.5173    0.8617    0.8189    0.5198   0.02975   0.01865  0.004599
    92/149     8.46G   0.03757   0.03277   0.01529   0.08563        20       640     0.518     0.864    0.8203     0.521   0.02969   0.01861  0.004549
    93/149     8.46G   0.03773   0.03264   0.01483   0.08521        11       640    0.5185    0.8641    0.8215    0.5228   0.02963   0.01858    0.0045
    94/149     8.46G   0.03762   0.03241   0.01462   0.08465        14       640    0.5194    0.8649    0.8226     0.524   0.02957   0.01855  0.004453
    95/149     8.46G   0.03723   0.03275   0.01467   0.08465        27       640    0.5203    0.8665    0.8238    0.5254   0.02951   0.01852  0.004415
